city,brand_name,category,store_count_estimate,sample_date,source_name,source_url,note
上海,瑞幸咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.3；第三方综合风险评级：高；第三方建议：同北京，市场高度内卷，新进入者面临巨大挑战。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,库迪咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.2；第三方综合风险评级：高；第三方建议：与瑞幸正面竞争，价格战环境下利润空间被严重压缩。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,茶百道,茶饮,150,2026-07-26,队友城市品牌风险样本,,原始门店数量：150+；平均评分：4.2；第三方综合风险评级：高；第三方建议：中端市场竞争白热化，加盟商需谨慎评估。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,星巴克,咖啡,150,2026-07-26,队友城市品牌风险样本,,原始门店数量：150+；平均评分：4.4；第三方综合风险评级：中高；第三方建议：品牌护城河宽，但高密度下，新店需有独特优势。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,霸王茶姬,茶饮,150,2026-07-26,队友城市品牌风险样本,,原始门店数量：150+；平均评分：4.4；第三方综合风险评级：中高；第三方建议：扩张迅猛，但已达饱和，未来增长空间有限，竞争加剧。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,喜茶,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.4；第三方综合风险评级：中高；第三方建议：品牌势能强大，但一线城市高昂的租金是主要风险。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,幸运咖,未知,30,2026-07-26,队友城市品牌风险样本,,原始门店数量：30+；平均评分：4.0；第三方综合风险评级：中；第三方建议：市场空间有限，且评分偏低，需评估其品牌定位。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,奈雪的茶,茶饮,30,2026-07-26,队友城市品牌风险样本,,原始门店数量：30+；平均评分：4.3；第三方综合风险评级：中；第三方建议：定位高端，门店密度相对较低，可寻找差异化机会。。门店数按区间下限导入，须通过地图或官方数据核验。
上海,古茗,茶饮,1,2026-07-26,队友城市品牌风险样本,,原始门店数量：1；平均评分：N/A；第三方综合风险评级：低；第三方建议：新入上海市场，值得关注，但存在不确定性。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,蜜雪冰城,茶饮,150,2026-07-26,队友城市品牌风险样本,,原始门店数量：150+；平均评分：4.1；第三方综合风险评级：高；第三方建议：门店极多，评分低于平均线，警示口碑和经营可能存在问题。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,瑞幸咖啡,咖啡,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.3；第三方综合风险评级：高；第三方建议：市场饱和，需与多家品牌竞争，新店突围难度大。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,库迪咖啡,咖啡,80,2026-07-26,队友城市品牌风险样本,,原始门店数量：80+；平均评分：4.2；第三方综合风险评级：高；第三方建议：数量众多，竞争焦点从价格转向服务和点位。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,霸王茶姬,茶饮,50,2026-07-26,队友城市品牌风险样本,,原始门店数量：50+；平均评分：4.3；第三方综合风险评级：中高；第三方建议：扩张较快，已接近饱和，需考虑市场细分。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,幸运咖,未知,20,2026-07-26,队友城市品牌风险样本,,原始门店数量：20+；平均评分：4.0；第三方综合风险评级：中；第三方建议：评分偏低，表明消费者接受度可能不如预期。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,星巴克,咖啡,20,2026-07-26,队友城市品牌风险样本,,原始门店数量：20+；平均评分：4.4；第三方综合风险评级：中；第三方建议：市场仍有空间，是相对稳健的选择，但需考虑本地消费力。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,茶百道,茶饮,10,2026-07-26,队友城市品牌风险样本,,原始门店数量：10+；平均评分：4.2；第三方综合风险评级：中低；第三方建议：门店数量不多，存在市场机会，适合早期布局。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,喜茶,茶饮,10,2026-07-26,队友城市品牌风险样本,,原始门店数量：10+；平均评分：4.4；第三方综合风险评级：中低；第三方建议：品牌号召力强，门店少，是进入天津市场的好时机。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,奈雪的茶,茶饮,3,2026-07-26,队友城市品牌风险样本,,原始门店数量：3；平均评分：4.5；第三方综合风险评级：低；第三方建议：高端市场空白，投资回报周期可能较长，但品牌定位清晰。。门店数按区间下限导入，须通过地图或官方数据核验。
天津,古茗,茶饮,1,2026-07-26,队友城市品牌风险样本,,原始门店数量：1；平均评分：N/A；第三方综合风险评级：低；第三方建议：市场观察阶段，风险和机会并存。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,蜜雪冰城,茶饮,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.1；第三方综合风险评级：高；第三方建议：竞争强度巨大，且评分低于平均线，需高度警惕。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,瑞幸咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.2；第三方综合风险评级：高；第三方建议：市场已完全饱和，新店面临巨大生存压力。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,库迪咖啡,咖啡,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.1；第三方综合风险评级：高；第三方建议：同瑞幸，数量庞大，价格战此起彼伏，盈利空间小。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,茶百道,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.2；第三方综合风险评级：高；第三方建议：中端市场拥挤，建议优先考虑其他有潜力的品牌或区域。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,霸王茶姬,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.3；第三方综合风险评级：中高；第三方建议：品牌热度高，但门店密度大，竞争激烈。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,星巴克,咖啡,50,2026-07-26,队友城市品牌风险样本,,原始门店数量：50+；平均评分：4.4；第三方综合风险评级：中高；第三方建议：市场已趋成熟，但凭借品牌力仍可占据一席之地。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,幸运咖,未知,30,2026-07-26,队友城市品牌风险样本,,原始门店数量：30+；平均评分：4.0；第三方综合风险评级：中；第三方建议：低价市场有空间，但需直面蜜雪冰城的压力，且评分是硬伤。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,喜茶,茶饮,20,2026-07-26,队友城市品牌风险样本,,原始门店数量：20+；平均评分：4.4；第三方综合风险评级：中；第三方建议：门店数量适中，品牌力强，是进入市场的较好选择。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,奈雪的茶,茶饮,10,2026-07-26,队友城市品牌风险样本,,原始门店数量：10+；平均评分：4.3；第三方综合风险评级：中低；第三方建议：高端市场尚未饱和，有发展潜力，适合布局。。门店数按区间下限导入，须通过地图或官方数据核验。
重庆,古茗,茶饮,10,2026-07-26,队友城市品牌风险样本,,原始门店数量：10+；平均评分：4.1；第三方综合风险评级：中低；第三方建议：门店较少，有增长空间，但需关注其本地化能力。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,蜜雪冰城,茶饮,200,2026-07-26,队友城市品牌风险样本,,原始门店数量：200+；平均评分：4.2；第三方综合风险评级：高；第三方建议：一线城市的激烈竞争环境，新店难有作为。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,瑞幸咖啡,咖啡,150,2026-07-26,队友城市品牌风险样本,,原始门店数量：150+；平均评分：4.3；第三方综合风险评级：高；第三方建议：市场极度饱和，投资回报率可能不理想。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,库迪咖啡,咖啡,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.2；第三方综合风险评级：高；第三方建议：与瑞幸贴身肉搏，风险较高。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,茶百道,茶饮,100,2026-07-26,队友城市品牌风险样本,,原始门店数量：100+；平均评分：4.2；第三方综合风险评级：高；第三方建议：竞争格局已定，新进入者机会不大。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,霸王茶姬,茶饮,80,2026-07-26,队友城市品牌风险样本,,原始门店数量：80+；平均评分：4.4；第三方综合风险评级：中高；第三方建议：门店较多，品牌是优势，但竞争不容忽视。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,星巴克,咖啡,70,2026-07-26,队友城市品牌风险样本,,原始门店数量：70+；平均评分：4.5；第三方综合风险评级：中高；第三方建议：品牌力强劲，适合作为稳健型投资，但需考虑点位。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,喜茶,茶饮,50,2026-07-26,队友城市品牌风险样本,,原始门店数量：50+；平均评分：4.5；第三方综合风险评级：中高；第三方建议：品牌和口碑俱佳，但一线城市投资成本高。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,奈雪的茶,茶饮,40,2026-07-26,队友城市品牌风险样本,,原始门店数量：40+；平均评分：4.4；第三方综合风险评级：中；第三方建议：高端茶饮市场仍有空间，可考虑差异化切入。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,幸运咖,未知,20,2026-07-26,队友城市品牌风险样本,,原始门店数量：20+；平均评分：4.1；第三方综合风险评级：中；第三方建议：市场空间有限，且面临头部品牌挤压。。门店数按区间下限导入，须通过地图或官方数据核验。
广州,古茗,茶饮,10,2026-07-26,队友城市品牌风险样本,,原始门店数量：10+；平均评分：4.2；第三方综合风险评级：中低；第三方建议：门店数量少，是新品牌拓展的机会市场。。门店数按区间下限导入，须通过地图或官方数据核验。
