city,target_brand,same_category_store_count,major_competitors,competition_level,market_heat,opportunity_points,risk_points
上海,蜜雪冰城,431,茶百道;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：竞争极度激烈，一线城市成本高，新店回本周期长，风险高。。该内容是辅助信号，不直接作为最终规则分数。
上海,瑞幸咖啡,350,库迪咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：同北京，市场高度内卷，新进入者面临巨大挑战。。该内容是辅助信号，不直接作为最终规则分数。
上海,库迪咖啡,350,瑞幸咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：与瑞幸正面竞争，价格战环境下利润空间被严重压缩。。该内容是辅助信号，不直接作为最终规则分数。
上海,茶百道,481,蜜雪冰城;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：中端市场竞争白热化，加盟商需谨慎评估。。该内容是辅助信号，不直接作为最终规则分数。
上海,星巴克,400,瑞幸咖啡;库迪咖啡,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌护城河宽，但高密度下，新店需有独特优势。。该内容是辅助信号，不直接作为最终规则分数。
上海,霸王茶姬,481,蜜雪冰城;茶百道;喜茶;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：扩张迅猛，但已达饱和，未来增长空间有限，竞争加剧。。该内容是辅助信号，不直接作为最终规则分数。
上海,喜茶,531,蜜雪冰城;茶百道;霸王茶姬;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌势能强大，但一线城市高昂的租金是主要风险。。该内容是辅助信号，不直接作为最终规则分数。
上海,幸运咖,1181,蜜雪冰城;瑞幸咖啡;库迪咖啡;茶百道;星巴克,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：市场空间有限，且评分偏低，需评估其品牌定位。。该内容是辅助信号，不直接作为最终规则分数。
上海,奈雪的茶,601,蜜雪冰城;茶百道;霸王茶姬;喜茶;古茗,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：定位高端，门店密度相对较低，可寻找差异化机会。。该内容是辅助信号，不直接作为最终规则分数。
上海,古茗,630,蜜雪冰城;茶百道;霸王茶姬;喜茶;奈雪的茶,low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：低；原始建议：新入上海市场，值得关注，但存在不确定性。。该内容是辅助信号，不直接作为最终规则分数。
天津,蜜雪冰城,74,霸王茶姬;茶百道;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：门店极多，评分低于平均线，警示口碑和经营可能存在问题。。该内容是辅助信号，不直接作为最终规则分数。
天津,瑞幸咖啡,100,库迪咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：市场饱和，需与多家品牌竞争，新店突围难度大。。该内容是辅助信号，不直接作为最终规则分数。
天津,库迪咖啡,120,瑞幸咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：数量众多，竞争焦点从价格转向服务和点位。。该内容是辅助信号，不直接作为最终规则分数。
天津,霸王茶姬,174,蜜雪冰城;茶百道;喜茶;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：扩张较快，已接近饱和，需考虑市场细分。。该内容是辅助信号，不直接作为最终规则分数。
天津,幸运咖,424,蜜雪冰城;瑞幸咖啡;库迪咖啡;霸王茶姬;星巴克,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：评分偏低，表明消费者接受度可能不如预期。。该内容是辅助信号，不直接作为最终规则分数。
天津,星巴克,180,瑞幸咖啡;库迪咖啡,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：市场仍有空间，是相对稳健的选择，但需考虑本地消费力。。该内容是辅助信号，不直接作为最终规则分数。
天津,茶百道,214,蜜雪冰城;霸王茶姬;喜茶;奈雪的茶;古茗,medium_low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中低；原始建议：门店数量不多，存在市场机会，适合早期布局。。该内容是辅助信号，不直接作为最终规则分数。
天津,喜茶,214,蜜雪冰城;霸王茶姬;茶百道;奈雪的茶;古茗,medium_low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中低；原始建议：品牌号召力强，门店少，是进入天津市场的好时机。。该内容是辅助信号，不直接作为最终规则分数。
天津,奈雪的茶,221,蜜雪冰城;霸王茶姬;茶百道;喜茶;古茗,low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：低；原始建议：高端市场空白，投资回报周期可能较长，但品牌定位清晰。。该内容是辅助信号，不直接作为最终规则分数。
天津,古茗,223,蜜雪冰城;霸王茶姬;茶百道;喜茶;奈雪的茶,low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：低；原始建议：市场观察阶段，风险和机会并存。。该内容是辅助信号，不直接作为最终规则分数。
重庆,蜜雪冰城,240,茶百道;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：竞争强度巨大，且评分低于平均线，需高度警惕。。该内容是辅助信号，不直接作为最终规则分数。
重庆,瑞幸咖啡,250,库迪咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：市场已完全饱和，新店面临巨大生存压力。。该内容是辅助信号，不直接作为最终规则分数。
重庆,库迪咖啡,250,瑞幸咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：同瑞幸，数量庞大，价格战此起彼伏，盈利空间小。。该内容是辅助信号，不直接作为最终规则分数。
重庆,茶百道,340,蜜雪冰城;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：中端市场拥挤，建议优先考虑其他有潜力的品牌或区域。。该内容是辅助信号，不直接作为最终规则分数。
重庆,霸王茶姬,340,蜜雪冰城;茶百道;喜茶;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌热度高，但门店密度大，竞争激烈。。该内容是辅助信号，不直接作为最终规则分数。
重庆,星巴克,400,瑞幸咖啡;库迪咖啡,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：市场已趋成熟，但凭借品牌力仍可占据一席之地。。该内容是辅助信号，不直接作为最终规则分数。
重庆,幸运咖,890,蜜雪冰城;瑞幸咖啡;库迪咖啡;茶百道;霸王茶姬,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：低价市场有空间，但需直面蜜雪冰城的压力，且评分是硬伤。。该内容是辅助信号，不直接作为最终规则分数。
重庆,喜茶,420,蜜雪冰城;茶百道;霸王茶姬;奈雪的茶;古茗,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：门店数量适中，品牌力强，是进入市场的较好选择。。该内容是辅助信号，不直接作为最终规则分数。
重庆,奈雪的茶,430,蜜雪冰城;茶百道;霸王茶姬;喜茶;古茗,medium_low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中低；原始建议：高端市场尚未饱和，有发展潜力，适合布局。。该内容是辅助信号，不直接作为最终规则分数。
重庆,古茗,430,蜜雪冰城;茶百道;霸王茶姬;喜茶;奈雪的茶,medium_low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中低；原始建议：门店较少，有增长空间，但需关注其本地化能力。。该内容是辅助信号，不直接作为最终规则分数。
广州,蜜雪冰城,280,茶百道;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：一线城市的激烈竞争环境，新店难有作为。。该内容是辅助信号，不直接作为最终规则分数。
广州,瑞幸咖啡,170,库迪咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：市场极度饱和，投资回报率可能不理想。。该内容是辅助信号，不直接作为最终规则分数。
广州,库迪咖啡,220,瑞幸咖啡;星巴克,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：与瑞幸贴身肉搏，风险较高。。该内容是辅助信号，不直接作为最终规则分数。
广州,茶百道,380,蜜雪冰城;霸王茶姬;喜茶;奈雪的茶;古茗,high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：高；原始建议：竞争格局已定，新进入者机会不大。。该内容是辅助信号，不直接作为最终规则分数。
广州,霸王茶姬,400,蜜雪冰城;茶百道;喜茶;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：门店较多，品牌是优势，但竞争不容忽视。。该内容是辅助信号，不直接作为最终规则分数。
广州,星巴克,250,瑞幸咖啡;库迪咖啡,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌力强劲，适合作为稳健型投资，但需考虑点位。。该内容是辅助信号，不直接作为最终规则分数。
广州,喜茶,430,蜜雪冰城;茶百道;霸王茶姬;奈雪的茶;古茗,medium_high,high,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中高；原始建议：品牌和口碑俱佳，但一线城市投资成本高。。该内容是辅助信号，不直接作为最终规则分数。
广州,奈雪的茶,440,蜜雪冰城;茶百道;霸王茶姬;喜茶;古茗,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：高端茶饮市场仍有空间，可考虑差异化切入。。该内容是辅助信号，不直接作为最终规则分数。
广州,幸运咖,800,蜜雪冰城;瑞幸咖啡;库迪咖啡;茶百道;霸王茶姬,medium,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中；原始建议：市场空间有限，且面临头部品牌挤压。。该内容是辅助信号，不直接作为最终规则分数。
广州,古茗,470,蜜雪冰城;茶百道;霸王茶姬;喜茶;奈雪的茶,medium_low,medium,第三方城市样本可用于初步比较，仍需补充商圈租金、客流和外卖销量。,第三方样本评级：中低；原始建议：门店数量少，是新品牌拓展的机会市场。。该内容是辅助信号，不直接作为最终规则分数。
